vowel_count,length,tty,name,rxcui
109,308,MIN,"Bordetella pertussis filamentous hemagglutinin vaccine, inactivated / Bordetella pertussis fimbriae 2/3 vaccine, inactivated / Bordetella pertussis pertactin vaccine, inactivated / Bordetella pertussis toxoid vaccine, inactivated / diphtheria toxoid vaccine, inactivated / tetanus toxoid vaccine, inactivated",1300188
106,308,MIN,"acellular pertussis vaccine, inactivated / diphtheria toxoid vaccine, inactivated / hepatitis B surface antigen vaccine / poliovirus vaccine inactivated, type 1 (Mahoney) / poliovirus vaccine inactivated, type 2 (MEF-1) / poliovirus vaccine inactivated, type 3 (Saukett) / tetanus toxoid vaccine, inactivated",1007545
96,288,MIN,alanine / arginine / calcium acetate / cysteine / glycerin / glycine / histidine / isoleucine / leucine / lysine / magnesium acetate / methionine / phenylalanine / phosphoric acid / potassium chloride / proline / serine / sodium acetate / sodium chloride / threonine / tryptophan / valine,1008771
93,280,MIN,alanine / arginine / calcium chloride / dibasic potassium phosphate / glucose / glycine / histidine / isoleucine / leucine / lysine / magnesium chloride / methionine / phenylalanine / proline / serine / sodium acetate / sodium chloride / threonine / tryptophan / tyrosine / valine,1007523
93,270,MIN,"acellular pertussis vaccine, inactivated / diphtheria toxoid vaccine, inactivated / poliovirus vaccine inactivated, type 1 (Mahoney) / poliovirus vaccine inactivated, type 2 (MEF-1) / poliovirus vaccine inactivated, type 3 (Saukett) / tetanus toxoid vaccine, inactivated",1007290
93,256,MIN,botulinum neurotoxin A immune FAB2 / botulinum neurotoxin B immune FAB2 / botulinum neurotoxin C immune FAB2 / botulinum neurotoxin D immune FAB2 / botulinum neurotoxin E immune FAB2 / botulinum neurotoxin F immune FAB2 / botulinum neurotoxin G immune FAB2,1722718
91,277,MIN,"alanine / arginine / aspartate / glutamate / glycine / histidine / isoleucine / leucine / lysine / magnesium chloride / methionine / phenylalanine / potassium chloride / proline / serine / sodium chloride / sodium phosphate, dibasic / threonine / tryptophan / tyrosine / valine",1008782
91,276,MIN,human-bovine reassortant rotavirus strain G1 vaccine / human-bovine reassortant rotavirus strain G2 vaccine / human-bovine reassortant rotavirus strain G3 vaccine / human-bovine reassortant rotavirus strain G4 vaccine / human-bovine reassortant rotavirus strain P1A[8] vaccine,1007640
91,268,MIN,alanine / arginine / aspartate / cysteine / glutamate / glycine / histidine / isoleucine / leucine / lysine / methionine / phenylalanine / proline / serine / sodium acetate / sodium chloride / sodium metabisulfite / taurine / threonine / tryptophan / tyrosine / valine,1008273
90,259,MIN,meningococcal group B vaccine / Neisseria meningitidis serogroup B recombinant FHBP fusion protein antigen / Neisseria meningitidis serogroup B recombinant NHBA fusion protein antigen / Neisseria meningitidis serogroup B strain NZ98/254 outer membrane vesicle,1601401
90,251,MIN,"Bordetella pertussis filamentous hemagglutinin vaccine, inactivated / Bordetella pertussis pertactin vaccine, inactivated / Bordetella pertussis toxoid vaccine, inactivated / diphtheria toxoid vaccine, inactivated / tetanus toxoid vaccine, inactivated",1300367
83,253,MIN,"alanine / arginine / glycine / histidine / isoleucine / leucine / lysine / magnesium chloride / methionine / phenylalanine / potassium chloride / proline / serine / sodium chloride / sodium phosphate, dibasic / threonine / tryptophan / tyrosine / valine",1007313
82,241,MIN,ascorbic acid / calcium carbonate / cholecalciferol / copper sulfate / ferrous fumarate / folic acid / magnesium oxide / niacinamide / potassium iodide / pyridoxine / riboflavin / thiamine / vitamin A / vitamin B12 / vitamin E / zinc sulfate,2371753
81,241,MIN,alanine / arginine / glycine / histidine / isoleucine / leucine / lysine / magnesium acetate / methionine / phenylalanine / phosphoric acid / potassium acetate / proline / serine / sodium chloride / threonine / tryptophan / tyrosine / valine,1008987
80,244,MIN,alanine / arginine / glycine / histidine / isoleucine / leucine / lysine / magnesium chloride / methionine / phenylalanine / potassium chloride / proline / serine / sodium chloride / sodium phosphate / threonine / tryptophan / tyrosine / valine,1007314
77,230,MIN,ascorbic acid / beta carotene / calcium carbonate / cholecalciferol / cupric oxide / docusate / folic acid / iron carbonyl / magnesium oxide / niacinamide / pyridoxine / riboflavin / thiamine / vitamin B12 / vitamin E / zinc oxide,1248141
76,230,MIN,copper sulfate / ferrous fumarate / folic acid / magnesium sulfate / manganese sulfate / niacinamide / pantothenate / polysaccharide iron complex / pyridoxine / riboflavin / sodium ascorbate / thiamine / vitamin B12 / zinc sulfate,1314785
75,224,MIN,ascorbic acid / cholecalciferol / cuprous oxide / folic acid / magnesium oxide / niacin / polysaccharide iron complex / potassium iodide / pyridoxine / riboflavin / thiamine / vitamin A / vitamin B12 / vitamin E / zinc oxide,1119568
75,222,MIN,alpha tocopherol / ascorbic acid / beta carotene / calcium carbonate / cholecalciferol / docusate / ferrous fumarate / folic acid / niacinamide / pantothenate / pyridoxine / riboflavin / thiamine / vitamin B12 / zinc oxide,1313924
74,231,MIN,ascorbic acid / biotin / copper sulfate / ferrous fumarate / folic acid / magnesium sulfate / manganese sulfate / niacin / pantothenate / polysaccharide iron complex / pyridoxine / riboflavin / thiamine / vitamin B12 / zinc sulfate,1314665
71,212,MIN,alanine / arginine / aspartate / glutamate / glycine / histidine / isoleucine / leucine / lysine / methionine / phenylalanine / proline / serine / sodium metabisulfite / threonine / tryptophan / tyrosine / valine,1009086
70,232,MIN,bald-faced hornet venom protein / common wasp venom protein / eastern yellow jacket venom protein / German wasp venom protein / southern yellow jacket venom protein / western yellow jacket venom protein / yellow hornet venom protein,1856688
70,206,MIN,alpha tocopherol / ascorbic acid / calcium citrate / cholecalciferol / cupric oxide / docusate / folic acid / iron carbonyl / niacinamide / potassium iodide / pyridoxine / riboflavin / thiamine / zinc oxide,1100257
69,210,MIN,alanine / arginine / aspartate / cysteine / glutamate / glycine / histidine / isoleucine / leucine / lysine / methionine / phenylalanine / proline / serine / taurine / threonine / tryptophan / tyrosine / valine,1008230
69,210,MIN,copper sulfate / ferrous fumarate / folic acid / manganese sulfate / niacinamide / pantothenate / polysaccharide iron complex / pyridoxine / riboflavin / sodium ascorbate / thiamine / vitamin B12 / zinc sulfate,1314678
68,204,MIN,copper sulfate / ferrous fumarate / folic acid / magnesium sulfate / manganese sulfate / niacinamide / pantothenic acid / pyridoxine / riboflavin / sodium ascorbate / thiamine / vitamin B12 / zinc sulfate,1007251
67,200,MIN,copper sulfate / ferrous fumarate / folic acid / magnesium sulfate / manganese sulfate / niacinamide / pantothenate / pyridoxine / riboflavin / sodium ascorbate / thiamine / vitamin B12 / zinc sulfate,1314653
66,219,MIN,"measles virus vaccine live, Enders' attenuated Edmonston strain / mumps virus vaccine live, Jeryl Lynn strain / rubella virus vaccine live (Wistar RA 27-3 strain) / varicella-zoster virus vaccine live (Oka-Merck) strain",1292439
66,202,MIN,alanine / arginine / cysteine / glycine / histidine / isoleucine / leucine / lysine / methionine / phenylalanine / phosphoric acid / proline / serine / sodium bisulfite / threonine / tryptophan / valine,1014426
66,199,MIN,alanine / arginine / aspartate / glutamate / glycine / histidine / isoleucine / leucine / lysine / methionine / phenylalanine / proline / serine / taurine / threonine / tryptophan / tyrosine / valine,1007028
62,189,MIN,alanine / arginine / aspartate / glutamate / glycine / histidine / isoleucine / leucine / lysine / methionine / phenylalanine / proline / serine / threonine / tryptophan / tyrosine / valine,1008982
59,183,MIN,alanine / arginine / cysteine / glycine / histidine / isoleucine / leucine / lysine / methionine / phenylalanine / phosphoric acid / proline / serine / threonine / tryptophan / valine,1008717
57,175,MIN,alanine / arginine / glucose / glycine / histidine / isoleucine / leucine / lysine / methionine / phenylalanine / proline / serine / threonine / tryptophan / tyrosine / valine,1008254
56,177,MIN,alpha tocopherol / ascorbic acid / biotin / cholecalciferol / dexpanthenol / folic acid / niacinamide / pyridoxine / riboflavin / thiamine / vitamin A / vitamin B12 / vitamin K1,1304558
56,176,MIN,alpha tocopherol / ascorbic acid / biotin / dexpanthenol / ergocalciferol / folic acid / niacinamide / pyridoxine / riboflavin / thiamine / vitamin A / vitamin B12 / vitamin K1,1305199
55,208,MIN,influenza A virus A/Brisbane/02/2018 (H1N1) antigen / influenza A virus A/South Australia/34/2019 (H3N2) antigen / influenza B virus B/Phuket/3073/2013 antigen / influenza B virus B/Washington/02/2019 antigen,2280741
55,203,MIN,influenza A virus A/Idaho/07/2018 (H1N1) antigen / influenza A virus A/Indiana/08/2018 (H3N2) antigen / influenza B virus B/Iowa/06/2017 antigen / influenza B virus B/Singapore/INFTT-16-0610/2016 antigen,2180400
55,173,MIN,meningococcal group A polysaccharide / meningococcal group C polysaccharide / meningococcal polysaccharide vaccine group W-135 / meningococcal polysaccharide vaccine group Y,1008395
55,165,MIN,Neisseria meningitidis serogroup B recombinant LP2086 A05 protein variant antigen / Neisseria meningitidis serogroup B recombinant LP2086 B01 protein variant antigen,1593134
55,162,MIN,acetate / cysteine / histidine / isoleucine / leucine / lysine / methionine / phenylalanine / sodium bisulfite / sodium chloride / threonine / tryptophan / valine,1007503
54,208,MIN,influenza A virus A/Delaware/39/2019 (H3N2) antigen / influenza A virus A/Nebraska/14/2019 (H1N1) antigen / influenza B virus B/Darwin/7/2019 antigen / influenza B virus B/Singapore/INFTT-16-0610/2016 antigen,2380842
54,165,MIN,alanine / arginine / cysteine / glycine / histidine / isoleucine / leucine / lysine / methionine / phenylalanine / proline / serine / threonine / tryptophan / valine,1008755
54,165,MIN,alanine / arginine / glycine / histidine / isoleucine / leucine / lysine / methionine / phenylalanine / proline / serine / threonine / tryptophan / tyrosine / valine,1007485
53,217,MIN,influenza A virus A/Guangdong-Maonan/SWL1536/2019 (H1N1) antigen / influenza A virus A/Hong Kong/2671/2019 (H3N2) antigen / influenza B virus B/Phuket/3073/2013 antigen / influenza B virus B/Washington/02/2019 antigen,2379632
53,200,MIN,influenza A virus A/Hawaii/70/2019 (H1N1) antigen / influenza A virus A/Minnesota/41/2019 (H3N2) antigen / influenza B virus B/Phuket/3073/2013 antigen / influenza B virus B/Washington/02/2019 antigen,2380857
53,153,MIN,"glucose / magnesium chloride / potassium chloride / potassium phosphate / sodium acetate / sodium chloride / sodium gluconate / sodium phosphate, dibasic",1009141
52,205,MIN,influenza A virus A/Hong Kong/2671/2019 (H3N2) antigen / influenza A virus A/Victoria/2454/2019 (H1N1) antigen / influenza B virus B/Phuket/3073/2013 antigen / influenza B virus B/Victoria/705/2018 antigen,2380594
52,173,MIN,"dengue virus live antigen, CYD serotype 1 / dengue virus live antigen, CYD serotype 2 / dengue virus live antigen, CYD serotype 3 / dengue virus live antigen, CYD serotype 4",2197300
52,170,MIN,ascorbic acid / biotin / ferrous bisglycinate / folic acid / formic acid / iron-dextran complex / niacin / pantothenate / pyridoxine / riboflavin / thiamine / vitamin B12,1102195
52,148,MIN,alpha tocopherol / ascorbic acid / cholecalciferol / docosahexaenoate / docusate / ferrous fumarate / folic acid / pyridoxine / tricalcium phosphate,1043299
52,139,MIN,alpha tocopherol / ascorbic acid / docosahexaenoate / eicosapentaenoate / ferrous fumarate / folic acid / pyridoxine / tricalcium phosphate,1008389
51,202,MIN,influenza A virus A/Hawaii/66/2019 (H1N1) antigen / influenza A virus A/Hong Kong/2671/2019 (H3N2) antigen / influenza B virus B/Phuket/3073/2013 antigen / influenza B virus B/Washington/02/2019 antigen,2389311
51,202,MIN,influenza A virus A/Kansas/14/2017 (H3N2) antigen / influenza A virus A/Switzerland/3330/2017 (H1N1) antigen / influenza B virus B/Colorado/06/2017 antigen / influenza B virus B/Phuket/3073/2013 antigen,2198899
51,168,MIN,common wasp venom protein / eastern yellow jacket venom protein / German wasp venom protein / southern yellow jacket venom protein / western yellow jacket venom protein,1856684
50,143,MIN,"magnesium chloride / potassium chloride / potassium phosphate / sodium acetate / sodium chloride / sodium gluconate / sodium phosphate, dibasic",1007748
49,197,MIN,influenza A virus A/Brisbane/02/2018 (H1N1) antigen / influenza A virus A/Kansas/14/2017 (H3N2) antigen / influenza B virus B/Maryland/15/2016 antigen / influenza B virus B/Phuket/3073/2013 antigen,2177392
49,148,MIN,"poliovirus vaccine inactivated, type 1 (Mahoney) / poliovirus vaccine inactivated, type 2 (MEF-1) / poliovirus vaccine inactivated, type 3 (Saukett)",1006915
49,140,MIN,Haemophilus influenzae b (Ross strain) capsular polysaccharide meningococcal protein conjugate vaccine / hepatitis B surface antigen vaccine,1488651
48,162,MIN,"measles virus vaccine live, Enders' attenuated Edmonston strain / mumps virus vaccine live, Jeryl Lynn strain / rubella virus vaccine live (Wistar RA 27-3 strain)",1007534
47,146,MIN,ascorbic acid / biotin / calcium carbonate / folic acid / niacin / pantothenate / pyridoxine / riboflavin / succinic acid / thiamine / vitamin B12,1102200
47,146,MIN,ascorbic acid / cholecalciferol / folic acid / niacin / riboflavin / sodium fluoride / thiamine / vitamin A / vitamin B12 / vitamin B6 / vitamin E,2371781
47,142,MIN,alpha tocopherol / ascorbic acid / cholecalciferol / doconexent / docusate / ferrous fumarate / folic acid / pyridoxine / tricalcium phosphate,1944962
47,134,MIN,ascorbic acid / biotin / ferrous fumarate / folic acid / mecobalamin / niacinamide / pantothenate / pyridoxine / riboflavin / thiamine,1007524
46,147,IN,sodium 2-acrylamido-2-methyl-1-propane sulfonate/sodium acrylate/n-isopropylacrylamide/trimethyl(3-methacrylamidopropyl)ammonium chloride copolymer,2392632
46,137,MIN,"dibasic potassium phosphate / glucose / lactate / magnesium chloride / potassium chloride / sodium chloride / sodium phosphate, monobasic",1007776
44,138,MIN,calcium ascorbate / calcium threonate / ferrous asparto glycinate / folic acid / polysaccharide iron complex / succinic acid / vitamin B12,1087244
44,130,MIN,ascorbic acid / biotin / folic acid / mecobalamin / niacinamide / pantothenate / pyridoxine / riboflavin / thiamine / zinc citrate,1008799
44,123,MIN,Agkistrodon piscivorus antivenin / Crotalus adamanteus antivenin / Crotalus atrox antivenin / Crotalus scutulatus antivenin,1008507
44,112,MIN,calcium acetate / magnesium acetate / potassium acetate / potassium chloride / sodium acetate / sodium gluconate,1547444
43,133,MIN,ascorbic acid / cholecalciferol / niacin / riboflavin / sodium fluoride / thiamine / vitamin A / vitamin B12 / vitamin B6 / vitamin E,1234471
43,132,MIN,dexpanthenol / magnesium sulfate / manganese sulfate / niacinamide / pyridoxine / riboflavin / thiamine / vitamin B12 / zinc sulfate,1007316
42,168,MIN,Kentucky bluegrass pollen extract / orchard grass pollen extract / perennial rye grass pollen extract / sweet vernal grass pollen extract / Timothy grass pollen extract,1550699
42,132,MIN,ascorbic acid / biotin / cholecalciferol / folic acid / niacin / pantothenic acid / pyridoxine / riboflavin / thiamine / vitamin B12,1095603
42,127,MIN,calcium ascorbate / calcium threonate / ferrous asparto glycinate / ferrous fumarate / folic acid / succinic acid / vitamin B12,1007486
41,199,IN,"((2s,3s,5s)-2-(2-(2,6-dimethylphenoxy)acetamido)-5-((s)-3-methyl-2-(2-oxotetrahydropyrimidin-1(2h)-yl)butanamido)-1,6-diphenylhexan-3-yl) 3-methyl-2-(2-oxotetrahydropyrimidin-1(2h)-yl)butanoate, (s)-",1599828
40,134,MIN,common paper wasp venom protein / metricus paper wasp venom protein / northern paper wasp venom protein / red paper wasp venom protein,1294638
40,120,MIN,ascorbic acid / cholecalciferol / niacinamide / pyridoxine / riboflavin / thiamine / vitamin A / vitamin B12 / vitamin E,1090967
40,115,MIN,ascorbic acid / biotin / folic acid / mecobalamin / niacinamide / pantothenate / pyridoxine / riboflavin / thiamine,1007772
40,102,IN,Neisseria meningitidis serogroup A capsular polysaccharide diphtheria toxoid protein conjugate vaccine,797629
39,148,IN,"disodium n-ethyl-n-4-((4-(ethyl((3-sulfophenyl)methyl)amino)phenyl)(2-sulfophenyl)methylene-2,5-cyclohexadien-1-ylidene)-3-sulfobenzenemethanaminium",1807340
39,123,MIN,calcium ascorbate / calcium threonate / ferrous asparto glycinate / liver stomach concentrate / succinic acid / vitamin B12,1007252
39,121,MIN,ascorbic acid / D-biotin / folic acid / niacinamide / pantothenic acid / pyridoxine / riboflavin / thiamine / vitamin B12,1008235
39,115,MIN,arginine / histidine / isoleucine / leucine / lysine / methionine / phenylalanine / threonine / tryptophan / valine,1094082
39,110,MIN,calcium chloride / magnesium chloride / potassium chloride / sodium acetate / sodium chloride / sodium citrate,1007530
39,106,IN,Neisseria meningitidis serogroup W-135 capsular polysaccharide diphtheria toxoid protein conjugate vaccine,797633
39,102,IN,Neisseria meningitidis serogroup C capsular polysaccharide diphtheria toxoid protein conjugate vaccine,797631
39,102,IN,Neisseria meningitidis serogroup Y capsular polysaccharide diphtheria toxoid protein conjugate vaccine,797635
39,99,IN,Neisseria meningitidis serogroup A capsular polysaccharide tetanus toxoid protein conjugate vaccine,2360571
38,117,MIN,ascorbic acid / D-biotin / folic acid / niacinamide / pantothenate / pyridoxine / riboflavin / thiamine / vitamin B12,1007728
38,103,IN,Neisseria meningitidis serogroup W-135 capsular polysaccharide tetanus toxoid protein conjugate vaccine,2360573
38,102,MIN,amphetamine aspartate / amphetamine sulfate / dextroamphetamine saccharate / dextroamphetamine sulfate,822929
38,99,IN,Neisseria meningitidis serogroup C capsular polysaccharide tetanus toxoid protein conjugate vaccine,2360572
38,99,IN,Neisseria meningitidis serogroup Y capsular polysaccharide tetanus toxoid protein conjugate vaccine,2360574
37,111,MIN,"glucose / lactate / magnesium chloride / potassium chloride / potassium phosphate / sodium phosphate, monobasic",1007526
37,103,MIN,glucose / magnesium chloride / potassium chloride / sodium acetate / sodium chloride / sodium gluconate,1007994
37,99,IN,"Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine",798279
36,115,MIN,ascorbic acid / cholecalciferol / niacin / riboflavin / thiamine / vitamin A / vitamin B12 / vitamin B6 / vitamin E,2371800
36,115,MIN,ascorbic acid / polyethylene glycol 3350 / potassium chloride / sodium ascorbate / sodium chloride / sodium sulfate,1007544
36,102,IN,Haemophilus influenzae b (Ross strain) capsular polysaccharide meningococcal protein conjugate vaccine,798444
36,94,IN,Neisseria meningitidis serogroup A oligosaccharide diphtheria CRM197 protein conjugate vaccine,901505
35,110,MIN,ascorbic acid / biotin / folic acid / niacin / pantothenate / pyridoxine / riboflavin / thiamine / vitamin B12,1007320
35,98,IN,Neisseria meningitidis serogroup W-135 oligosaccharide diphtheria CRM197 protein conjugate vaccine,901509
35,97,MIN,ascorbic acid / beta carotene / cuprous oxide / lutein / sodium selenate / vitamin E / zinc oxide,1007087
35,94,IN,Neisseria meningitidis serogroup C oligosaccharide diphtheria CRM197 protein conjugate vaccine,901507
35,94,IN,Neisseria meningitidis serogroup Y oligosaccharide diphtheria CRM197 protein conjugate vaccine,901511
34,98,IN,Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine,901624
34,97,IN,Streptococcus pneumoniae serotype 6A capsular antigen diphtheria CRM197 protein conjugate vaccine,901633
34,96,MIN,dibasic potassium phosphate / glucose / magnesium chloride / potassium chloride / sodium acetate,1007749
34,93,MIN,magnesium chloride / potassium chloride / sodium acetate / sodium chloride / sodium gluconate,1008699
34,92,MIN,calcium chloride / magnesium chloride / potassium acetate / sodium acetate / sodium chloride,1547458
33,101,MIN,boron / calcium carbonate / cholecalciferol / folic acid / magnesium oxide / pyridoxine / vitamin B12,1087280
33,99,MIN,glucose / lactate / magnesium chloride / potassium chloride / potassium phosphate / sodium chloride,1007338
33,98,IN,Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine,798222
33,98,IN,Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine,798224
33,98,IN,Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine,798226
33,97,IN,Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine,798220
33,97,IN,Streptococcus pneumoniae serotype 6B capsular antigen diphtheria CRM197 protein conjugate vaccine,798230
33,97,IN,Streptococcus pneumoniae serotype 7F capsular antigen diphtheria CRM197 protein conjugate vaccine,901636
33,97,IN,Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine,798232
33,97,MIN,magnesium sulfate / potassium chloride / potassium phosphate / sodium chloride / sodium phosphate,1008228
33,96,IN,Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine,901620
33,96,IN,Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine,901628
33,96,IN,Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine,798228
33,96,IN,Streptococcus pneumoniae serotype 5 capsular antigen diphtheria CRM197 protein conjugate vaccine,901631
33,93,MIN,calcium chloride / magnesium chloride / potassium chloride / sodium acetate / sodium chloride,1007721
33,89,MIN,American house dust mite allergenic extract / European house dust mite allergenic extract,1116982
32,105,MIN,ascorbic acid / biotin / copper sulfate / docusate / folic acid / iron carbonyl / vitamin B12 / vitamin E,1087405
32,101,MIN,polyethylene glycol 3350 / potassium chloride / sodium bicarbonate / sodium chloride / sodium sulfate,815276
32,91,MIN,docosahexaenoate / eicosapentaenoate / folic acid / phytosterols / vitamin B12 / vitamin B6,1008282
31,122,IN,polyquaternium-47 (methacrylamidopropyltrimethylammonium chloride-co-methyl acrylate-co-acrylic acid 45:10:45; 1200000 MW),1601597
31,91,MIN,ascorbic acid / beta carotene / copper sulfate / lutein / selenite / vitamin E / zinc oxide,1090831
31,89,MIN,ascorbic acid / ferrous fumarate / folic acid / niacinamide / polysaccharide iron complex,1008783
30,98,MIN,ascorbic acid / polyethylene glycol 3350 / potassium chloride / sodium ascorbate / sodium chloride,2045242
30,91,MIN,calcium ascorbate / ferrous asparto glycinate / polysaccharide iron complex / succinic acid,1007519
30,77,MIN,Bifidobacterium animalis / Bifidobacterium longum / Lactobacillus acidophilus,1150100
